device: cpu
train size:	8500
val size:	1500
[   0.02 min] Gen   1/300 | best_fit=2.58813  avg_fit=2.81020 | best_h=72  avg_h=74.7
[   0.05 min] Gen   2/300 | best_fit=2.54450  avg_fit=2.69815 | best_h=72  avg_h=73.5
[   0.08 min] Gen   3/300 | best_fit=2.49647  avg_fit=2.71391 | best_h=69  avg_h=72.0
[   0.10 min] Gen   4/300 | best_fit=2.42030  avg_fit=2.64289 | best_h=66  avg_h=70.9
[   0.13 min] Gen   5/300 | best_fit=2.38131  avg_fit=2.53475 | best_h=64  avg_h=68.9
[   0.16 min] Gen   6/300 | best_fit=2.33818  avg_fit=2.54426 | best_h=65  avg_h=66.3
[   0.18 min] Gen   7/300 | best_fit=2.31813  avg_fit=2.49166 | best_h=62  avg_h=64.1
[   0.20 min] Gen   8/300 | best_fit=2.28615  avg_fit=2.46858 | best_h=60  avg_h=63.7
[   0.23 min] Gen   9/300 | best_fit=2.26783  avg_fit=2.45820 | best_h=60  avg_h=62.9
[   0.25 min] Gen  10/300 | best_fit=2.24622  avg_fit=2.38128 | best_h=59  avg_h=61.1
[   0.27 min] Gen  11/300 | best_fit=2.21113  avg_fit=2.31713 | best_h=57  avg_h=60.0
[   0.29 min] Gen  12/300 | best_fit=2.15307  avg_fit=2.30346 | best_h=55  avg_h=58.4
[   0.30 min] Gen  13/300 | best_fit=2.14096  avg_fit=2.28109 | best_h=54  avg_h=56.8
[   0.32 min] Gen  14/300 | best_fit=2.08204  avg_fit=2.26467 | best_h=52  avg_h=54.7
[   0.34 min] Gen  15/300 | best_fit=2.07463  avg_fit=2.16586 | best_h=51  avg_h=52.6
[   0.36 min] Gen  16/300 | best_fit=2.00709  avg_fit=2.15199 | best_h=48  avg_h=51.2
[   0.38 min] Gen  17/300 | best_fit=1.99555  avg_fit=2.12473 | best_h=48  avg_h=49.8
[   0.40 min] Gen  18/300 | best_fit=1.93587  avg_fit=2.08486 | best_h=43  avg_h=48.2
[   0.43 min] Gen  19/300 | best_fit=1.85700  avg_fit=2.04962 | best_h=40  avg_h=45.9
[   0.44 min] Gen  20/300 | best_fit=1.83362  avg_fit=1.93157 | best_h=40  avg_h=42.3
[   0.46 min] Gen  21/300 | best_fit=1.79564  avg_fit=1.89474 | best_h=37  avg_h=39.8
[   0.47 min] Gen  22/300 | best_fit=1.77133  avg_fit=1.86780 | best_h=35  avg_h=38.8
[   0.49 min] Gen  23/300 | best_fit=1.70788  avg_fit=1.81094 | best_h=33  avg_h=37.5
[   0.51 min] Gen  24/300 | best_fit=1.69696  avg_fit=1.77992 | best_h=29  avg_h=35.0
[   0.52 min] Gen  25/300 | best_fit=1.65522  avg_fit=1.73588 | best_h=30  avg_h=32.6
[   0.54 min] Gen  26/300 | best_fit=1.59214  avg_fit=1.70232 | best_h=28  avg_h=30.5
[   0.55 min] Gen  27/300 | best_fit=1.53660  avg_fit=1.66862 | best_h=26  avg_h=28.8
[   0.57 min] Gen  28/300 | best_fit=1.49529  avg_fit=1.60529 | best_h=24  avg_h=26.8
[   0.58 min] Gen  29/300 | best_fit=1.47069  avg_fit=1.54895 | best_h=21  avg_h=24.7
[   0.60 min] Gen  30/300 | best_fit=1.43104  avg_fit=1.51530 | best_h=21  avg_h=23.0
