device: cpu
train size:	8500
val size:	1500
[   0.54 min] Gen  59/300 | best_fit=0.08965  avg_fit=0.12863 | best_h=7  avg_h=6.9
[   0.55 min] Gen  60/300 | best_fit=0.08410  avg_fit=0.14634 | best_h=7  avg_h=6.9
[   0.56 min] Gen  61/300 | best_fit=0.08410  avg_fit=0.14236 | best_h=7  avg_h=6.7
[   0.57 min] Gen  62/300 | best_fit=0.08410  avg_fit=0.11984 | best_h=7  avg_h=6.5
[   0.58 min] Gen  63/300 | best_fit=0.08368  avg_fit=0.12429 | best_h=7  avg_h=6.6
[   0.58 min] Gen  64/300 | best_fit=0.08368  avg_fit=0.15108 | best_h=7  avg_h=6.4
[   0.59 min] Gen  65/300 | best_fit=0.08368  avg_fit=0.13943 | best_h=7  avg_h=6.5
[   0.60 min] Gen  66/300 | best_fit=0.08368  avg_fit=0.15953 | best_h=7  avg_h=6.6
[   0.61 min] Gen  67/300 | best_fit=0.08050  avg_fit=0.12397 | best_h=7  avg_h=6.5
[   0.62 min] Gen  68/300 | best_fit=0.08050  avg_fit=0.15444 | best_h=7  avg_h=6.6
[   0.63 min] Gen  69/300 | best_fit=0.08050  avg_fit=0.16138 | best_h=7  avg_h=7.0
[   0.64 min] Gen  70/300 | best_fit=0.08050  avg_fit=0.13037 | best_h=7  avg_h=6.5
[   0.65 min] Gen  71/300 | best_fit=0.08050  avg_fit=0.11827 | best_h=7  avg_h=6.8
[   0.66 min] Gen  72/300 | best_fit=0.08050  avg_fit=0.10947 | best_h=7  avg_h=6.8
[   0.67 min] Gen  73/300 | best_fit=0.08035  avg_fit=0.13931 | best_h=7  avg_h=6.9
[   0.68 min] Gen  74/300 | best_fit=0.08035  avg_fit=0.13777 | best_h=7  avg_h=6.7
[   0.69 min] Gen  75/300 | best_fit=0.08035  avg_fit=0.16475 | best_h=7  avg_h=6.3
[   0.70 min] Gen  76/300 | best_fit=0.08035  avg_fit=0.19556 | best_h=7  avg_h=6.5
[   0.71 min] Gen  77/300 | best_fit=0.08035  avg_fit=0.11718 | best_h=7  avg_h=6.5
[   0.72 min] Gen  78/300 | best_fit=0.08035  avg_fit=0.12334 | best_h=7  avg_h=6.5
[   0.73 min] Gen  79/300 | best_fit=0.08035  avg_fit=0.17966 | best_h=7  avg_h=6.8
[   0.74 min] Gen  80/300 | best_fit=0.08035  avg_fit=0.15526 | best_h=7  avg_h=6.8
[   0.75 min] Gen  81/300 | best_fit=0.08016  avg_fit=0.13814 | best_h=7  avg_h=6.5
[   0.76 min] Gen  82/300 | best_fit=0.08016  avg_fit=0.15056 | best_h=7  avg_h=6.8
[   0.77 min] Gen  83/300 | best_fit=0.08016  avg_fit=0.17654 | best_h=7  avg_h=6.5
[   0.78 min] Gen  84/300 | best_fit=0.07708  avg_fit=0.18642 | best_h=7  avg_h=6.9
[   0.79 min] Gen  85/300 | best_fit=0.07708  avg_fit=0.15046 | best_h=7  avg_h=6.7
[   0.80 min] Gen  86/300 | best_fit=0.07708  avg_fit=0.13130 | best_h=7  avg_h=6.8
[   0.81 min] Gen  87/300 | best_fit=0.07708  avg_fit=0.18577 | best_h=7  avg_h=6.3
[   0.82 min] Gen  88/300 | best_fit=0.07708  avg_fit=0.15904 | best_h=7  avg_h=6.3
[   0.83 min] Gen  89/300 | best_fit=0.07708  avg_fit=0.12140 | best_h=7  avg_h=6.3
[   0.84 min] Gen  90/300 | best_fit=0.07708  avg_fit=0.25241 | best_h=7  avg_h=6.5
