device: cpu
train size:	8500
val size:	1500
[  11.28 min] Gen  59/300 | best_fit=0.10703  avg_fit=0.35153 | best_h=42  avg_h=41.5
[  11.46 min] Gen  60/300 | best_fit=0.10405  avg_fit=1.06167 | best_h=41  avg_h=41.9
[  12.21 min] Gen  61/300 | best_fit=0.10405  avg_fit=8.46724 | best_h=41  avg_h=41.0
[  12.39 min] Gen  62/300 | best_fit=0.10405  avg_fit=6.48660 | best_h=41  avg_h=40.8
[  12.56 min] Gen  63/300 | best_fit=0.10405  avg_fit=2.25737 | best_h=41  avg_h=40.7
[  12.73 min] Gen  64/300 | best_fit=0.09976  avg_fit=0.11522 | best_h=41  avg_h=40.6
[  12.89 min] Gen  65/300 | best_fit=0.09976  avg_fit=2.32633 | best_h=41  avg_h=40.9
[  13.07 min] Gen  66/300 | best_fit=0.09976  avg_fit=2.91761 | best_h=41  avg_h=40.8
[  13.24 min] Gen  67/300 | best_fit=0.09470  avg_fit=0.37964 | best_h=41  avg_h=40.7
[  13.43 min] Gen  68/300 | best_fit=0.09470  avg_fit=0.29621 | best_h=41  avg_h=40.8
[  13.71 min] Gen  69/300 | best_fit=0.09470  avg_fit=0.12607 | best_h=41  avg_h=40.5
[  13.89 min] Gen  70/300 | best_fit=0.08998  avg_fit=0.15603 | best_h=41  avg_h=40.4
[  14.10 min] Gen  71/300 | best_fit=0.08998  avg_fit=0.43861 | best_h=41  avg_h=40.6
[  14.35 min] Gen  72/300 | best_fit=0.08741  avg_fit=0.19209 | best_h=40  avg_h=40.7
[  14.60 min] Gen  73/300 | best_fit=0.08298  avg_fit=1.11303 | best_h=40  avg_h=40.0
[  14.84 min] Gen  74/300 | best_fit=0.08298  avg_fit=0.43439 | best_h=40  avg_h=40.2
[  15.10 min] Gen  75/300 | best_fit=0.08298  avg_fit=0.41736 | best_h=40  avg_h=40.0
[  15.35 min] Gen  76/300 | best_fit=0.07880  avg_fit=0.14240 | best_h=40  avg_h=39.7
[  15.61 min] Gen  77/300 | best_fit=0.07880  avg_fit=0.15381 | best_h=40  avg_h=39.5
[  15.86 min] Gen  78/300 | best_fit=0.07495  avg_fit=6.20741 | best_h=40  avg_h=38.8
[  16.10 min] Gen  79/300 | best_fit=0.07495  avg_fit=0.12842 | best_h=40  avg_h=39.9
[  16.34 min] Gen  80/300 | best_fit=0.07495  avg_fit=0.87767 | best_h=40  avg_h=40.0
[  16.58 min] Gen  81/300 | best_fit=0.07495  avg_fit=1.42399 | best_h=40  avg_h=39.3
[  16.80 min] Gen  82/300 | best_fit=0.07495  avg_fit=0.40005 | best_h=40  avg_h=39.9
[  17.03 min] Gen  83/300 | best_fit=0.07058  avg_fit=0.40046 | best_h=40  avg_h=39.9
[  17.28 min] Gen  84/300 | best_fit=0.07058  avg_fit=1.54378 | best_h=40  avg_h=40.1
[  17.53 min] Gen  85/300 | best_fit=0.07058  avg_fit=0.24874 | best_h=40  avg_h=39.6
[  17.77 min] Gen  86/300 | best_fit=0.06188  avg_fit=0.08987 | best_h=40  avg_h=39.6
[  18.12 min] Gen  87/300 | best_fit=0.06188  avg_fit=0.20132 | best_h=40  avg_h=40.0
[  18.42 min] Gen  88/300 | best_fit=0.06188  avg_fit=1.67826 | best_h=40  avg_h=39.6
[  18.66 min] Gen  89/300 | best_fit=0.06188  avg_fit=0.16273 | best_h=40  avg_h=39.2
[  18.90 min] Gen  90/300 | best_fit=0.05873  avg_fit=0.37551 | best_h=40  avg_h=39.6
[  19.14 min] Gen  91/300 | best_fit=0.05873  avg_fit=0.40803 | best_h=40  avg_h=39.9
[  19.38 min] Gen  92/300 | best_fit=0.05873  avg_fit=0.38478 | best_h=40  avg_h=39.5
[  19.63 min] Gen  93/300 | best_fit=0.05459  avg_fit=0.16443 | best_h=40  avg_h=39.7
[  19.86 min] Gen  94/300 | best_fit=0.05459  avg_fit=1.07571 | best_h=40  avg_h=39.5
[  20.08 min] Gen  95/300 | best_fit=0.05312  avg_fit=1.10634 | best_h=39  avg_h=39.9
[  20.32 min] Gen  96/300 | best_fit=0.05204  avg_fit=0.93255 | best_h=40  avg_h=39.2
[  20.56 min] Gen  97/300 | best_fit=0.05204  avg_fit=0.29494 | best_h=40  avg_h=39.4
[  20.80 min] Gen  98/300 | best_fit=0.05204  avg_fit=0.20807 | best_h=40  avg_h=39.7
[  21.05 min] Gen  99/300 | best_fit=0.04928  avg_fit=0.26405 | best_h=40  avg_h=39.5
[  21.29 min] Gen 100/300 | best_fit=0.04928  avg_fit=0.56944 | best_h=40  avg_h=39.6
[  21.51 min] Gen 101/300 | best_fit=0.04670  avg_fit=0.99435 | best_h=40  avg_h=39.8
[  21.77 min] Gen 102/300 | best_fit=0.04535  avg_fit=1.63523 | best_h=39  avg_h=39.9
