device: cpu
train size:	8500
val size:	1500
[   0.40 min] Gen   1/100 | best_fit=2.37689  avg_fit=2.73168 | best_h=47  avg_h=49.9
[   0.59 min] Gen   2/100 | best_fit=2.01308  avg_fit=2.53709 | best_h=47  avg_h=50.0
[   0.76 min] Gen   3/100 | best_fit=1.69204  avg_fit=2.17424 | best_h=38  avg_h=47.5
[   0.93 min] Gen   4/100 | best_fit=1.52265  avg_fit=1.99023 | best_h=38  avg_h=45.7
[   1.10 min] Gen   5/100 | best_fit=1.26910  avg_fit=1.72846 | best_h=29  avg_h=42.2
[   1.27 min] Gen   6/100 | best_fit=1.06839  avg_fit=1.48831 | best_h=28  avg_h=36.8
[   1.47 min] Gen   7/100 | best_fit=0.95136  avg_fit=1.25172 | best_h=19  avg_h=31.6
[   1.63 min] Gen   8/100 | best_fit=0.66890  avg_fit=1.00810 | best_h=16  avg_h=26.1
[   1.78 min] Gen   9/100 | best_fit=0.43653  avg_fit=0.83609 | best_h=13  avg_h=21.7
[   1.92 min] Gen  10/100 | best_fit=0.31491  avg_fit=0.60272 | best_h=9  avg_h=15.3
[   2.07 min] Gen  11/100 | best_fit=0.10499  avg_fit=0.44975 | best_h=6  avg_h=12.5
[   2.15 min] Gen  12/100 | best_fit=0.05985  avg_fit=0.28316 | best_h=7  avg_h=9.3
[   2.23 min] Gen  13/100 | best_fit=0.05831  avg_fit=0.13703 | best_h=7  avg_h=6.0
[   2.31 min] Gen  14/100 | best_fit=0.05831  avg_fit=0.09896 | best_h=7  avg_h=5.3
[   2.43 min] Gen  15/100 | best_fit=0.05831  avg_fit=0.08599 | best_h=7  avg_h=5.9
[   2.56 min] Gen  16/100 | best_fit=0.05826  avg_fit=0.06275 | best_h=7  avg_h=6.5
[   2.66 min] Gen  17/100 | best_fit=0.05825  avg_fit=0.07246 | best_h=6  avg_h=6.6
[   2.75 min] Gen  18/100 | best_fit=0.05825  avg_fit=0.07351 | best_h=6  avg_h=6.5
[   2.83 min] Gen  19/100 | best_fit=0.05825  avg_fit=0.07684 | best_h=7  avg_h=6.2
[   2.89 min] Gen  20/100 | best_fit=0.05825  avg_fit=0.07077 | best_h=7  avg_h=5.7
[   2.96 min] Gen  21/100 | best_fit=0.05825  avg_fit=0.07740 | best_h=7  avg_h=5.9
[   3.00 min] Gen  22/100 | best_fit=0.05825  avg_fit=0.06961 | best_h=7  avg_h=6.8
[   3.05 min] Gen  23/100 | best_fit=0.05825  avg_fit=0.06123 | best_h=7  avg_h=6.6
[   3.11 min] Gen  24/100 | best_fit=0.05825  avg_fit=0.07956 | best_h=7  avg_h=5.9
[   3.17 min] Gen  25/100 | best_fit=0.05823  avg_fit=0.08162 | best_h=7  avg_h=6.8
[   3.22 min] Gen  26/100 | best_fit=0.05823  avg_fit=0.06383 | best_h=7  avg_h=6.5
[   3.28 min] Gen  27/100 | best_fit=0.05823  avg_fit=0.08144 | best_h=7  avg_h=6.4
